[,37000,Jun,22
a2p,112200,Feb,21
abrt-action-analyze-backtrace,13896,Feb,22
abrt-action-analyze-c,12312,Feb,22
abrt-action-analyze-core,6676,Feb,22
abrt-action-analyze-oops,10720,Feb,22
abrt-action-analyze-python,11016,Feb,22
abrt-action-generate-backtrace,14536,Feb,22
abrt-action-generate-core-backtrace,14840,Feb,22
abrt-action-install-debuginfo,7575,Feb,22
abrt-action-list-dsos,2759,Feb,22
abrt-action-save-package-data,27104,Feb,22
abrt-action-trim-files,15808,Feb,22
abrt-cli,18648,Feb,22
abrt-dedup-client,29128,Feb,22
abrt-dump-oops,20632,Feb,22
abrt-handle-upload,3352,Feb,22
ac,24816,Jul,17
aclocal,31181,Feb,21
aclocal-1.11,31181,Feb,21
aconnect,22824,Feb,21
acpi_listen,14984,Aug,18
activation-client,19728,Jun,22
addftinfo,26128,Nov,11
addr2line,29816,Feb,21
alsa-info,27247,Sep,12
alsa-info.sh,9,Apr,23
alsaloop,1558624,Feb,21
alsamixer,76888,Feb,21
amidi,23424,Feb,21
amixer,60608,Feb,21
amuFormat.sh,2668,Aug,16
aplay,74528,Feb,21
aplaymidi,26072,Feb,21
appletviewer,47,Apr,23
apropos,1786,Feb,21
apt,38,Apr,23
ar,60976,Feb,21
arecord,5,Apr,23
arecordmidi,28992,Feb,21
as,541920,Feb,21
aseqdump,21296,Feb,21
aseqnet,22352,Feb,21
aserver,34904,Dec,7
at,54240,Jan,30
atq,2,Apr,23
atrm,2,Apr,23
attr,13840,Sep,23
aulast,18240,Jun,22
aulastlog,13224,Jun,22
ausyscall,11112,Jun,22
autoconf,14631,Nov,10
autoexpect,7625,Apr,5
autoheader,8484,Nov,10
autom4te,31789,Nov,10
automake,257062,Feb,21
automake-1.11,257062,Feb,21
autopoint,18760,Nov,11
autoreconf,20233,Nov,10
autoscan,17065,Nov,10
autoupdate,33766,Nov,10
auvirt,34736,Jun,22
avro-tools,158,Apr,21
awk,14,Apr,23
b43-fwcutter,27600,Nov,10
base64,32848,Jun,22
bashbug-64,6970,Feb,21
batch,137,Jan,30
bc,87840,Nov,10
bdftopcf,11192,Dec,7
bdftops,292,Sep,11
beeline,324,Apr,21
berkeley_db_svc,75656,Apr,4
bison,303304,Nov,10
blkiomon,25416,Dec,7
blkparse,47216,Dec,7
blkrawverify,15536,Dec,7
blktrace,39416,Dec,7
bmp2tiff,17600,Dec,18
bno_plot.py,3463,Dec,7
bonobo-activation-run-query,25688,Jun,22
btparser,16632,Feb,21
btrace,891,Dec,7
btrecord,16952,Dec,7
btreplay,27448,Dec,7
btt,74088,Dec,7
bunzip2,5,Apr,23
byacc,4,Apr,23
bzcat,5,Apr,23
bzcmp,6,Apr,23
bzdiff,2128,Jun,24
bzgrep,1677,Jun,24
bzip2,36336,Jun,24
bzip2recover,13456,Jun,24
bzless,6,Apr,23
bzmore,1259,Jun,24
c++,270504,Feb,21
c2ph,36601,Feb,21
c89,224,Feb,21
c99,215,Feb,21
cal,21600,Feb,22
canberra-gtk-play,24560,Dec,2
captoinfo,3,Apr,23
catalogd,10174,Apr,21
catchsegv,3384,Feb,21
cc,3,Apr,23
cdda-player,37152,Aug,18
cd-drive,25112,Aug,18
cd-info,43184,Aug,18
cd-paranoia,39672,Aug,18
cd-read,30880,Aug,18
certutil,155800,Feb,22
c++filt,29224,Feb,21
chacl,17224,Dec,7
chage,66352,Dec,7
charmap,9,Apr,23
chattr,14136,Feb,21
chcon,59680,Jun,22
checkmodule,281120,Nov,10
checkpolicy,289312,Nov,10
chfn,20184,Feb,22
chrt,13080,Feb,22
chsh,20056,Feb,22
chvt,10056,Nov,11
cifsiostat,58296,Jun,22
cjpeg,32608,Feb,21
ck-history,27464,Nov,10
ck-launch-session,11464,Nov,10
ck-list-sessions,15736,Nov,10
cksum,28816,Jun,22
ck-xinit-session,12312,Aug,16
clear,8352,Aug,18
cli_mt,164,Apr,21
cli_st,164,Apr,21
cloog,15336,Nov,10
cloudera-quickstart-ip,1475,Apr,23
cmp,23640,Nov,10
cmsutil,101624,Feb,22
col,14552,Feb,22
colcrt,11304,Feb,22
colrm,8848,Feb,22
column,13472,Feb,22
comm,32056,Jun,22
consolehelper,8664,Aug,22
ControlPanel,47,Apr,23
cpp,270504,Feb,21
cpufreq-selector,35464,Sep,25
create-branching-keyboard,14728,Nov,11
crlutil,116848,Feb,22
crontab,47520,Jul,19
csplit,108712,Jun,22
csslint-0.6,22568,Aug,21
curl,133640,Feb,22
cut,13,Apr,23
cvs,641096,Sep,21
cvsbug,14028,Sep,21
cvt,17088,Feb,22
db_archive,11912,Apr,4
db_checkpoint,13952,Apr,4
db_codegen,26032,Apr,4
db_deadlock,14336,Apr,4
db_dump,16008,Apr,4
db_dump185,65176,Apr,4
db_hotbackup,21216,Apr,4
dbilogstrip,1465,Aug,19
dbiprof,6300,Aug,19
dbiproxy,5482,Aug,19
db_load,27256,Apr,4
db_printlog,71104,Apr,4
db_recover,13640,Apr,4
db_stat,14680,Apr,4
db_upgrade,12440,Apr,4
dbus-binding-tool,90112,Nov,10
dbus-launch,31896,Sep,13
db_verify,13040,Apr,4
dc,49816,Nov,10
ddate,14008,Feb,22
deallocvt,10528,Nov,11
debuginfo-install,7416,Jun,22
desktop-file-install,53008,Aug,25
desktop-file-validate,44864,Aug,25
devkit-power,27088,Sep,23
diff,86368,Nov,10
diff3,27584,Nov,10
dig,150040,Feb,21
dir,117024,Jun,22
dircolors,36600,Jun,22
dirname,26264,Jun,22
dislocate,7852,Apr,5
djpeg,32944,Feb,21
dos2unix,19624,Aug,22
dprofpp,24089,Feb,21
du,98368,Jun,22
dumphint,554,Sep,11
dumpiso,13384,Aug,16
dvcont,16632,Nov,11
dvipdf,1057,Sep,11
easy_install,323,Nov,11
easy_install-2.6,331,Nov,11
eject,13,Apr,23
enc2xs,39147,Feb,21
enchant,17816,Nov,11
enchant-lsmod,11488,Nov,11
env,13,Apr,23
envsubst,33552,Nov,11
eog,508824,Nov,11
eps2eps,632,Sep,11
eqn,144176,Nov,11
eqn2graph,2242,Nov,11
eu-addr2line,20960,Jul,19
eu-ar,35840,Jul,19
eu-elfcmp,33368,Jul,19
eu-elflint,99976,Jul,19
eu-findtextrel,18928,Jul,19
eu-make-debug-archive,2919,Jul,19
eu-nm,41696,Jul,19
eu-objdump,31304,Jul,19
eu-ranlib,19912,Jul,19
eu-readelf,149400,Jul,19
eu-size,19552,Jul,19
eu-strings,19744,Jul,19
eu-strip,48288,Jul,19
eu-unstrip,48400,Jul,19
event_rpcgen.py,45502,Jun,22
evim,4,Apr,23
evince,438256,Jun,25
evince-previewer,57576,Jun,25
evince-thumbnailer,21944,Jun,25
ex,3,Apr,23
execstack,184568,Dec,7
expand,30504,Jun,22
expect,11304,Apr,5
expr,100224,Jun,22
extcheck,43,Apr,23
factor,48984,Jun,22
fallocate,11408,Feb,22
fax2ps,19472,Dec,18
fax2tiff,18352,Dec,18
fc-cache,17440,Nov,11
fc-cat,15464,Nov,11
fc-list,13048,Nov,11
fc-match,14352,Nov,11
fc-query,11648,Nov,11
fc-scan,12024,Nov,11
festival,47864,Nov,11
festival_client,52176,Nov,11
festival_server,7050,Nov,11
festival_server_control,4034,Nov,11
festival-synthesis-driver,34496,Nov,11
fgconsole,10632,Nov,11
file,19784,Oct,4
file-roller,415408,Nov,11
find,14,Apr,23
find2perl,23599,Feb,21
find-repos-of-install,4376,Jun,22
fipscheck,14896,Dec,7
fipshmac,14208,Dec,7
flac,196688,Nov,11
flash-player-properties,499352,Mar,3
flex,337760,Nov,11
flex++,4,Apr,23
flock,14136,Feb,22
floppy,28656,Feb,22
flume-ng,206,Apr,21
fmt,34032,Jun,22
fold,31696,Jun,22
font2c,300,Sep,11
fonttosfnt,37496,Dec,7
fprintd-delete,13008,Jun,22
fprintd-enroll,12720,Jun,22
fprintd-list,13464,Jun,22
fprintd-verify,14728,Jun,22
free,12784,Nov,15
ftp-rfc,598,Apr,5
funzip,25464,Nov,11
fusermount,15,Apr,23
g++,270504,Feb,21
gawk,14,Apr,23
gcc,268160,Feb,21
gconf-merge-tree,62376,Aug,23
gconftool-2,71904,Aug,23
gcov,44128,Feb,21
gdk-pixbuf-query-loaders-64,13752,Feb,21
gdmflexiserver,25800,Feb,21
gdm-screenshot,21648,Feb,21
gedit,749096,Nov,11
gencat,25784,Feb,21
geqn,3,Apr,23
getconf,25528,Feb,21
getent,30504,Feb,21
getfacl,26248,Dec,7
getfattr,21976,Sep,23
getkeycodes,10792,Nov,11
getopt,15640,Feb,22
gettext,17,Apr,23
gettextize,41907,Nov,11
gettext.sh,4653,Nov,11
gex,4,Apr,23
ghostscript,2,Apr,23
gif2tiff,17888,Dec,18
gindxbib,7,Apr,23
git,1142496,Jun,25
git-receive-pack,1142504,Jun,25
git-shell,463872,Jun,25
git-upload-archive,1142504,Jun,25
git-upload-pack,473352,Jun,25
glookbib,7,Apr,23
gmake,4,Apr,23
gneqn,4,Apr,23
gnome-about,37070,Oct,10
gnome-about-me,107336,Feb,21
gnome-appearance-properties,244504,Feb,21
gnome-at-properties,69088,Feb,21
gnome-at-visual,2205,Feb,21
gnome-audio-profiles-properties,22120,Nov,11
gnome-character-map,9,Apr,23
gnome-control-center,142360,Feb,21
gnome-default-applications-properties,85960,Feb,21
gnome-desktop-item-edit,129128,Jul,19
gnome-display-properties,75848,Feb,21
gnome-font-viewer,38296,Feb,21
gnome-help,4,Apr,23
gnome-keybinding-properties,77624,Feb,21
gnome-keyboard-properties,114632,Feb,21
gnome-keyring,26752,Oct,4
gnome-keyring-daemon,702048,Oct,4
gnome-mouse-properties,82440,Feb,21
gnome-network-properties,82120,Feb,21
gnome-open,22696,Nov,11
gnome-panel,716264,Jul,19
gnome-power-bugreport.sh,2134,May,22
gnome-power-manager,222776,May,22
gnome-power-preferences,58792,May,22
gnome-screensaver,188336,Feb,21
gnome-screensaver-command,19440,Feb,21
gnome-screensaver-preferences,78864,Feb,21
gnome-session,250968,Dec,7
gnome-session-properties,84336,Dec,7
gnome-session-save,23472,Dec,7
gnome-terminal,338352,Sep,26
gnome-text-editor,5,Apr,23
gnome-thumbnail-font,28048,Feb,21
gnome-typing-monitor,58928,Feb,21
gnomevfs-cat,24712,Nov,11
gnomevfs-copy,24928,Nov,11
gnomevfs-df,27192,Nov,11
gnomevfs-info,29304,Nov,11
gnomevfs-ls,27504,Nov,11
gnomevfs-mkdir,25232,Nov,11
gnomevfs-monitor,26016,Nov,11
gnomevfs-mv,24456,Nov,11
gnomevfs-rm,24456,Nov,11
gnome-volume-control,212488,Nov,11
gnome-volume-control-applet,136816,Nov,11
gnome-wacom-properties,160208,Feb,21
gnome-window-properties,33768,Feb,21
gnome-wm,3488,Dec,7
gnroff,5,Apr,23
gok,437816,Nov,11
gpasswd,71480,Dec,7
gpg,4,Apr,23
gpg2,768448,Nov,11
gpg-agent,305176,Nov,11
gpgconf,135776,Nov,11
gpg-connect-agent,179752,Nov,11
gpg-error,21840,Dec,7
gpgkey2ssh,40568,Nov,11
gpgparsemail,26640,Nov,11
gpgsplit,52616,Nov,11
gpgv,5,Apr,23
gpgv2,342392,Nov,11
gpg-zip,3303,Nov,11
gpic,3,Apr,23
gprof,99424,Feb,21
grefer,5,Apr,23
grn,72976,Nov,11
grodvi,88296,Nov,11
groff,73672,Nov,11
groffer,7777,Nov,11
grog,2472,Nov,11
grolbp,95736,Nov,11
grolj4,85240,Nov,11
grops,124864,Nov,11
grotty,84200,Nov,11
groups,27992,Jun,22
gs,19128,Sep,11
gsbj,337,Sep,11
gsdj,339,Sep,11
gsdj500,342,Sep,11
gslj,340,Sep,11
gslp,337,Sep,11
gsnd,264,Sep,11
gsoelim,6,Apr,23
gst-feedback,16112,Nov,11
gst-feedback-0.10,3173,Nov,11
gst-inspect,16112,Nov,11
gst-inspect-0.10,51136,Nov,11
gst-launch,16112,Nov,11
gst-launch-0.10,34408,Nov,11
gst-typefind,16112,Nov,11
gst-typefind-0.10,19024,Nov,11
gst-xmlinspect,16120,Nov,11
gst-xmlinspect-0.10,28024,Nov,11
gst-xmllaunch,16112,Nov,11
gst-xmllaunch-0.10,34408,Nov,11
gtbl,3,Apr,23
gtf,17056,Feb,22
gtk-query-immodules-2.0-64,17912,Feb,21
gtk-update-icon-cache,35280,Feb,21
gtroff,5,Apr,23
gucharmap,87088,Aug,25
gunzip,16,Apr,23
gvfs-cat,16368,Jul,31
gvfs-copy,17064,Jul,31
gvfs-info,20136,Jul,31
gvfs-less,879,Jul,31
gvfs-ls,21648,Jul,31
gvfs-mkdir,14264,Jul,31
gvfs-monitor-dir,14240,Jul,31
gvfs-monitor-file,14192,Jul,31
gvfs-mount,33368,Jul,31
gvfs-move,16432,Jul,31
gvfs-open,15712,Jul,31
gvfs-rename,14224,Jul,31
gvfs-rm,14240,Jul,31
gvfs-save,16304,Jul,31
gvfs-set-attribute,15776,Jul,31
gvfs-trash,14240,Jul,31
gvfs-tree,17656,Jul,31
gview,4,Apr,23
gvim,2313400,Apr,5
gvimdiff,4,Apr,23
gvimtutor,143,Apr,5
gzexe,5864,Nov,11
gzip,14,Apr,23
h2ph,28036,Feb,21
h2xs,60385,Feb,21
hadoop,189,Apr,21
hadoop-0.20,305,Apr,21
hadoop-fuse-dfs,892,Apr,21
hal-device,22272,Jul,19
hal-disable-polling,16600,Jul,19
hal-find-by-capability,12504,Jul,19
hal-find-by-property,12632,Jul,19
hal-get-property,14768,Jul,19
hal-is-caller-locked-out,12448,Jul,19
hal-lock,17216,Jul,19
hal-probe-vmmouse,1448,Feb,23
hal-set-property,16664,Jul,19
hal-setup-keymap,41680,Jul,19
halt,13,Apr,23
hbase,608,Apr,21
hbase-indexer,147,Apr,21
hcat,374,Apr,21
hdfs,192,Apr,21
head,36136,Jun,22
hexdump,25464,Feb,22
hive,321,Apr,21
hiveserver2,328,Apr,21
host,137568,Feb,21
hostid,25600,Jun,22
hpftodit,24672,Nov,11
hunspell,60256,Nov,11
i386,7,Apr,23
iceauth,32112,Feb,23
iconv,63024,Feb,21
id,32696,Jun,22
idlj,39,Apr,23
idn,36232,Aug,23
iecset,21512,Feb,21
ifnames,4049,Nov,10
igawk,3091,Aug,7
impalad,10173,Apr,21
impala-shell,1856,Apr,21
indxbib,32288,Nov,11
info,186096,Aug,20
infocmp,55688,Aug,18
infokey,25664,Aug,20
infotocap,3,Apr,23
innochecksum,15072,Dec,7
install,111544,Jun,22
install-catalog,4374,Nov,11
instmodsh,4253,Feb,21
invest-chart,482,Sep,25
ionice,11296,Feb,22
iostat,71320,Jun,22
iotop,452,Aug,24
ipcmk,11032,Feb,22
ipcrm,12560,Feb,22
ipcs,23120,Feb,22
iso-info,28360,Aug,18
iso-read,25288,Aug,18
isosize,10808,Feb,22
jar,38,Apr,23
jarsigner,44,Apr,23
java,39,Apr,23
javac,40,Apr,23
javadoc,42,Apr,23
javafxpackager,49,Apr,23
javah,40,Apr,23
javap,40,Apr,23
java-rmi.cgi,47,Apr,23
javaws,41,Apr,23
jcmd,39,Apr,23
jconsole,43,Apr,23
jcontrol,43,Apr,23
jdb,38,Apr,23
jhat,39,Apr,23
jinfo,40,Apr,23
jmap,39,Apr,23
jmc,38,Apr,23
jmc.ini,42,Apr,23
join,42896,Jun,22
jpegtran,31728,Feb,21
jps,38,Apr,23
jrunscript,45,Apr,23
jsadebugd,44,Apr,23
jstack,41,Apr,23
jstat,40,Apr,23
jstatd,41,Apr,23
jvisualvm,44,Apr,23
kbdrate,11648,Nov,11
keytool,42,Apr,23
kibitz,10800,Apr,5
kill,14,Apr,23
killall,24440,Jun,25
kite-dataset,140,Apr,21
last,20360,Jul,19
lastb,4,Apr,23
lastcomm,23432,Jul,17
lastlog,14352,Dec,7
lchfn,30968,Apr,5
lchsh,28320,Apr,5
ld,594968,Feb,21
ldd,5325,Feb,21
less,154416,Dec,7
lessecho,10656,Dec,7
lesskey,18840,Dec,7
lesspipe.sh,1336,Sep,21
lex,4,Apr,23
libnetcfg,15724,Feb,21
libtar,15032,Apr,9
libtool,283333,Aug,24
libtoolize,68161,Aug,24
libwacom-list-local-devices,11648,Feb,21
linux32,7,Apr,23
linux64,7,Apr,23
lkbib,41072,Nov,11
llama,566,Apr,21
llamaadmin,571,Apr,21
load_gen,166,Apr,21
loadunimap,26136,Nov,11
locale,41368,Feb,21
localedef,329640,Feb,21
locate,38464,Oct,10
logger,15048,Feb,22
logname,25696,Jun,22
look,11736,Feb,22
lookbib,40944,Nov,11
lprsetup.sh,4661,Sep,11
lpunlock,2534,Apr,5
lsattr,13080,Feb,21
lsb_release,15929,Feb,22
lscpu,52680,Feb,22
lshal,28352,Jul,19
lsusb,112152,Dec,7
lsusb.py,13406,Dec,7
lua,17872,Aug,19
luac,116088,Aug,19
lz,2,Apr,23
lzcat,2,Apr,23
lzcmp,6,Apr,23
lzdiff,6,Apr,23
lzegrep,6,Apr,23
lzfgrep,6,Apr,23
lzgrep,6,Apr,23
lzless,6,Apr,23
lzma,2,Apr,23
lzmadec,15504,Aug,22
lzmainfo,12864,Aug,22
lzmore,6,Apr,23
m4,212440,Nov,11
mac2unix,8,Apr,23
magnifier,228528,Nov,11
mahout,530,Apr,21
Mail,15,Apr,23
mailq,27,Apr,23
mailq.postfix,31,Apr,23
make,173208,Apr,3
man,56120,Feb,21
man2html,62296,Feb,21
manpath,3,Apr,23
mapred,199,Apr,21
mapscrn,21040,Nov,11
mattrib,6,Apr,23
mbadblocks,6,Apr,23
mbchk,618664,Feb,21
mc,988432,Aug,22
mcat,6,Apr,23
mcd,6,Apr,23
mcedit,2,Apr,23
mcheck,1679,Aug,16
mclasserase,6,Apr,23
mcmfmt,8600,Aug,22
mcomp,840,Aug,16
mcookie,14264,Feb,22
mcopy,6,Apr,23
mcpp,7840,Aug,18
mcview,2,Apr,23
md5sum,36112,Jun,22
mdel,6,Apr,23
mdeltree,6,Apr,23
mdir,6,Apr,23
mdu,6,Apr,23
memhog,13392,Feb,21
mesg,9800,Jul,19
metacity,587568,Jun,22
metacity-message,16280,Jun,22
metaflac,114576,Nov,11
mformat,6,Apr,23
migratepages,12712,Feb,21
migspeed,15520,Feb,21
minfo,6,Apr,23
mkfifo,29168,Jun,22
mkfontdir,131,Dec,7
mkfontscale,34864,Dec,7
mkmanifest,12928,Aug,16
mkpasswd,5551,Apr,5
mkrfc2734,10424,Nov,11
mkxauth,10859,Aug,18
mlabel,6,Apr,23
mmc-tool,32176,Aug,18
mmd,6,Apr,23
mmount,6,Apr,23
mmove,6,Apr,23
modutil,156568,Feb,22
mpartition,6,Apr,23
mpstat,62616,Jun,22
mrd,6,Apr,23
mren,6,Apr,23
msgattrib,24096,Nov,11
msgcat,24376,Nov,11
msgcmp,18152,Nov,11
msgcomm,22736,Nov,11
msgconv,20032,Nov,11
msgen,19936,Nov,11
msgexec,16664,Nov,11
msgfilter,26368,Nov,11
msgfmt,69488,Nov,11
msggrep,105560,Nov,11
msghack,12806,May,19
msginit,45512,Nov,11
msgmerge,45736,Nov,11
msgunfmt,31952,Nov,11
msguniq,21768,Nov,11
mshowfat,6,Apr,23
msql2mysql,1412,Dec,7
mtools,175904,Aug,16
mtoolstest,6,Apr,23
